,Stock_Name,Price,Market cap,Return in captial
0,Reliance Industr,1476.85,1997595.55,9.43
1,HDFC Bank,1957.40,1501144.07,7.51
2,TCS,3189.85,1154367.45,64.63
3,Bharti Airtel,1901.05,1140176.97,15.36
4,ICICI Bank,1426.50,1017757.65,7.88
5,St Bk of India,823.30,735118.67,6.47
6,Infosys,1586.55,659429.28,37.50
7,Hind. Unilever,2490.70,585096.12,27.85
8,Bajaj Finance,941.85,584912.47,11.35
9,ITC,422.65,529241.17,36.79
10,Larsen & Toubro,3470.00,477208.51,14.49
11,Kotak Mah. Bank,2140.75,425439.19,8.17
12,HCL Technologies,1549.05,420305.84,31.88
13,Sun Pharma.Inds.,1691.30,405835.26,20.21
14,M & M,3200.35,398091.12,13.93
15,Maruti Suzuki,12450.00,391365.32,21.76
16,UltraTech Cem.,12480.00,367712.52,10.93
17,Axis Bank,1099.10,340867.82,7.11
18,NTPC,342.05,331771.29,10.76
19,Bajaj Finserv,2029.95,324324.09,11.03
20,Adani Ports,1442.00,311481.31,13.80
21,O N G C,246.35,309877.05,12.42
22,Titan Company,3402.05,302126.08,19.14
23,Adani Enterp.,2596.25,299614.10,9.45
24,Bharat Electron,394.70,288552.67,38.99
